threshold,100,nonmax_suppression,1,neighbourhood,2
u,v
281.0,830.0
621.0,746.0
491.0,745.0
487.0,742.0
624.0,740.0
612.0,738.0
621.0,737.0
497.0,733.0
492.0,731.0
632.0,729.0
537.0,728.0
456.0,726.0
626.0,726.0
502.0,702.0
537.0,682.0
527.0,681.0
556.0,675.0
545.0,674.0
464.0,664.0
531.0,655.0
349.0,654.0
493.0,654.0
491.0,653.0
360.0,631.0
323.0,409.0
460.0,330.0
773.0,54.0
