threshold,45,nonmax_suppression,1,neighbourhood,2
u,v
1393.0,221.0
1396.0,219.0
1340.0,212.0
1339.0,210.0
52.0,208.0
917.0,208.0
1343.0,208.0
1340.0,203.0
1284.0,197.0
1281.0,192.0
965.0,190.0
1079.0,190.0
1081.0,189.0
1284.0,189.0
969.0,185.0
1219.0,180.0
1223.0,178.0
1221.0,174.0
106.0,172.0
1020.0,166.0
1156.0,165.0
57.0,161.0
1153.0,160.0
1155.0,158.0
1080.0,152.0
1078.0,149.0
1086.0,145.0
386.0,139.0
376.0,138.0
378.0,137.0
372.0,134.0
375.0,134.0
377.0,133.0
437.0,123.0
434.0,122.0
424.0,118.0
415.0,116.0
240.0,114.0
410.0,113.0
84.0,112.0
416.0,112.0
410.0,110.0
242.0,109.0
214.0,105.0
131.0,94.0
148.0,94.0
133.0,88.0
550.0,77.0
243.0,74.0
553.0,74.0
550.0,72.0
545.0,69.0
84.0,68.0
88.0,68.0
548.0,65.0
80.0,63.0
85.0,63.0
535.0,60.0
539.0,60.0
540.0,58.0
532.0,57.0
81.0,56.0
79.0,55.0
70.0,54.0
533.0,54.0
526.0,53.0
587.0,52.0
584.0,48.0
273.0,47.0
588.0,47.0
587.0,44.0
579.0,41.0
576.0,40.0
579.0,39.0
279.0,38.0
570.0,37.0
573.0,37.0
581.0,37.0
577.0,36.0
579.0,36.0
7.0,33.0
573.0,33.0
669.0,27.0
250.0,12.0
208.0,10.0
246.0,10.0
252.0,9.0
271.0,8.0
219.0,7.0
247.0,6.0
249.0,6.0
254.0,6.0
256.0,6.0
276.0,6.0
293.0,6.0
221.0,4.0
227.0,4.0
