threshold,100,nonmax_suppression,0,neighbourhood,1
u,v
79.0,629.0
568.0,629.0
568.0,467.0
79.0,466.0
567.0,466.0
568.0,466.0
167.0,416.0
167.0,415.0
456.0,213.0
457.0,213.0
456.0,212.0
457.0,212.0
581.0,183.0
342.0,153.0
343.0,153.0
581.0,125.0
580.0,124.0
581.0,124.0
456.0,95.0
457.0,95.0
456.0,94.0
457.0,94.0
63.0,79.0
269.0,79.0
270.0,79.0
63.0,78.0
64.0,78.0
269.0,78.0
270.0,78.0
